diskUsage,directory
132950,"C:\Users\BrunoSilveira\OneDrive - Info Tecnologia\Imagens\2026-08-11_15-26.png"
208775,"C:\Users\BrunoSilveira\OneDrive - Info Tecnologia\Imagens\2026-08-11_15-38.png"
76626,"C:\Users\BrunoSilveira\OneDrive - Info Tecnologia\Imagens\235352 - Faturas\01.listagem-recibos-associacao.png"
86686,"C:\Users\BrunoSilveira\OneDrive - Info Tecnologia\Imagens\235352 - Faturas\02.contrato-faturado.png"
75422,"C:\Users\BrunoSilveira\OneDrive - Info Tecnologia\Imagens\235352 - Faturas\03.recibo-input.png"
63439,"C:\Users\BrunoSilveira\OneDrive - Info Tecnologia\Imagens\235352 - Faturas\04.associacao-contrato.png"
88430,"C:\Users\BrunoSilveira\OneDrive - Info Tecnologia\Imagens\235352 - Faturas\05.exclusao.png"
86145,"C:\Users\BrunoSilveira\OneDrive - Info Tecnologia\Imagens\235352 - Faturas\debito-contrato.png"
166318,"C:\Users\BrunoSilveira\OneDrive - Info Tecnologia\Imagens\235352 - Faturas\evidencia-api.png"
647162,"C:\Users\BrunoSilveira\OneDrive - Info Tecnologia\Imagens\235352 - Faturas"
14982,"C:\Users\BrunoSilveira\OneDrive - Info Tecnologia\Imagens\239125 - Conta Corrente Filtro\2026-08-07_12-41.png"
31065,"C:\Users\BrunoSilveira\OneDrive - Info Tecnologia\Imagens\239125 - Conta Corrente Filtro\2026-08-07_15-42.png"
18001,"C:\Users\BrunoSilveira\OneDrive - Info Tecnologia\Imagens\239125 - Conta Corrente Filtro\2026-08-07_16-23.png"
66776,"C:\Users\BrunoSilveira\OneDrive - Info Tecnologia\Imagens\239125 - Conta Corrente Filtro\2026-08-07_16-49.png"
222369,"C:\Users\BrunoSilveira\OneDrive - Info Tecnologia\Imagens\239125 - Conta Corrente Filtro\evidencia-filtro-1.png"
192930,"C:\Users\BrunoSilveira\OneDrive - Info Tecnologia\Imagens\239125 - Conta Corrente Filtro\evidencia-filtro-2.png"
550219,"C:\Users\BrunoSilveira\OneDrive - Info Tecnologia\Imagens\239125 - Conta Corrente Filtro"
520,"C:\Users\BrunoSilveira\OneDrive - Info Tecnologia\Imagens\desktop.ini"
1543722,"C:\Users\BrunoSilveira\OneDrive - Info Tecnologia\Imagens"
1543722,"TOTAL"
